Timestamp;BLDC_POSTION;temp_max;temp_min;scop_sample
101265102;3149;7195;3;3198
101266082;3149;7195;3;3198
101267083;3149;7195;3;3198
101268087;3149;7195;3;3198
101269088;3149;7195;3;3198
101270084;3149;7195;3;3198
101271087;3149;7195;3;3198
101272083;3149;7195;3;3198
101273084;3149;7195;3;3198
101274088;3149;7195;3;3198
101275099;3149;7195;3;3198
101276087;3150;7195;3;3198
101277089;3149;7195;3;3198
101278085;3149;7195;3;3198
101279087;3150;7195;3;3198
101280084;3150;7195;3;3198
101281088;3149;7195;3;3198
101282084;3149;7195;3;3198
101283085;3149;7195;3;3198
101284082;3149;7195;3;3198
101285083;3150;7195;3;3198
101286101;3149;7195;3;3198
101287082;3149;7195;3;3198
101288084;3149;7195;3;3198
101289089;3149;7195;3;3198
101290082;3149;7195;3;3198
101291089;3149;7195;3;3198
101292083;3150;7195;3;3198
101293088;3149;7195;3;3198
101294089;3149;7195;3;3198
101295086;3149;7195;3;3198
101296121;3149;7195;3;3198
101297085;3149;7195;3;3198
101298086;3149;7195;3;3198
101299083;3149;7195;3;3198
101300084;3149;7195;3;3198
101301084;3149;7195;3;3198
101302085;3150;7195;3;3198
101303082;3150;7195;3;3198
101304083;3149;7195;3;3198
101305088;3149;7195;3;3198
101306089;3149;7195;3;3198
101307098;3149;7195;3;3198
101308090;3150;7195;3;3198
101309090;3149;7195;3;3198
101310085;3150;7195;3;3198
101311089;3149;7195;3;3198
101312085;3150;7195;3;3198
101313085;3150;7195;3;3198
101314089;3149;7195;3;3198
101315082;3149;7195;3;3198
101316086;3150;7195;3;3198
101317097;3149;7195;3;3198
101318085;3149;7195;3;3198
101319086;3149;7195;3;3198
101320082;3150;7195;3;3198
101321086;3150;7195;3;3198
101322089;3149;7195;3;3198
101323082;3150;7195;3;3198
101324086;3150;7195;3;3198
101325087;3149;7195;3;3198
101326083;3150;7195;3;3198
101327100;3150;7195;3;3198
101328089;3149;7195;3;3198
101329082;3149;7195;3;3198
101330086;3149;7195;3;3198
101331089;3149;7195;3;3198
101332085;3149;7195;3;3198
101333086;3149;7195;3;3198
101334089;3150;7195;3;3198
101335083;3150;7195;3;3198
101336087;3149;7195;3;3198
101337162;3149;7195;3;3198
101338088;3149;7195;3;3198
101339089;3149;7195;3;3198
101340085;3149;7195;3;3198
101341088;3149;7195;3;3198
101342084;3149;7195;3;3198
101343085;3149;7195;3;3198
101344090;3149;7195;3;3198
101345083;3149;7195;3;3198
101346088;3150;7195;3;3198
101347196;3150;7195;3;3198
101348083;3149;7195;3;3198
101349084;3149;7195;3;3198
101350089;3149;7195;3;3198
101351086;3149;7195;3;3198
101352083;3149;7195;3;3198
101353084;3150;7195;3;3198
101354088;3150;7195;3;3198
101355082;3149;7195;3;3198
101356087;3149;7195;3;3198
101357121;3150;7195;3;3198
101358085;3149;7195;3;3198
101359083;3150;7195;3;3198
101360084;3149;7195;3;3198
101361084;3149;7195;3;3198
101362085;3149;7195;3;3198
101363090;3149;7195;3;3198
101364083;3149;7195;3;3198
101365088;3149;7195;3;3198
101366089;3149;7195;3;3198
101367119;3149;7195;3;3198
101368089;3149;7195;3;3198
101369083;3149;7195;3;3198
101370088;3150;7195;3;3198
101371084;3149;7195;3;3198
101372089;3149;7195;3;3198
101373090;3149;7195;3;3198
101374085;3149;7195;3;3198
101375086;3150;7195;3;3198
101376089;3150;7195;3;3198
101377129;3149;7195;3;3198
101378089;3150;7195;3;3198
101379083;3149;7195;3;3198
101380087;3149;7195;3;3198
101381082;3149;7195;3;3198
101382086;3149;7195;3;3198
101383087;3150;7195;3;3198
101384083;3149;7195;3;3198
101385083;3151;7195;3;3198
101386087;3149;7195;3;3198
101387088;3150;7195;3;3198
101388118;3150;7195;3;3198
101389088;3148;7195;3;3198
101390089;3149;7195;3;3198
101391088;3150;7195;3;3198
101392089;3150;7195;3;3198
101393085;3149;7195;3;3198
101394085;3150;7195;3;3198
101395089;3149;7195;3;3198
101396082;3149;7195;3;3198
101397086;3149;7195;3;3198
101398133;3150;7195;3;3198
101399083;3150;7195;3;3198
101400084;3150;7195;3;3198
101401083;3150;7195;3;3198
101402084;3150;7195;3;3198
101403087;3149;7195;3;3198
101404088;3149;7195;3;3198
101405084;3148;7195;3;3198
101406085;3149;7195;3;3198
101407089;3150;7195;3;3198
101408146;3148;7195;3;3198
101409084;3150;7195;3;3198
101410086;3149;7195;3;3198
101411085;3149;7195;3;3198
101412086;3149;7195;3;3198
101413083;3149;7195;3;3198
101414084;3149;7195;3;3198
101415089;3149;7195;3;3198
101416083;3149;7195;3;3198
101417087;3149;7195;3;3198
101418131;3148;7195;3;3198
101419085;3149;7195;3;3198
101420086;3150;7195;3;3198
101421086;3150;7195;3;3198
101422087;3150;7195;3;3198
101423084;3150;7195;3;3198
101424086;3149;7195;3;3198
101425082;3149;7195;3;3198
101426083;3149;7195;3;3198
101427088;3149;7195;3;3198
101428116;3149;7195;3;3198
101429098;3149;7195;3;3198
101430087;3149;7195;3;3198
101431085;3149;7195;3;3198
101432089;3148;7195;3;3198
101433083;3149;7195;3;3198
101434087;3149;7195;3;3198
101435089;3149;7195;3;3198
101436085;3149;7195;3;3198
101437087;3150;7195;3;3198
101438083;3149;7195;3;3198
101439112;3149;7195;3;3198
101440098;3149;7195;3;3198
101441084;3149;7195;3;3198
101442084;3149;7195;3;3198
101443088;3149;7195;3;3198
101444088;3149;7195;3;3198
101445084;3150;7195;3;3198
101446085;3149;7195;3;3198
101447089;3150;7195;3;3198
101448082;3150;7195;3;3198
101449165;3149;7195;3;3198
101450087;3148;7195;3;3198
101451082;3149;7195;3;3198
101452086;3150;7195;3;3198
101453087;3149;7195;3;3198
101454083;3149;7195;3;3198
101455084;3149;7195;3;3198
101456088;3149;7195;3;3198
101457088;3149;7195;3;3198
101458084;3150;7195;3;3198
101459085;3149;7195;3;3198
101460100;3149;7195;3;3198
101461083;3149;7195;3;3198
101462084;3149;7195;3;3198
101463088;3149;7195;3;3198
101464089;3148;7195;3;3198
101465085;3149;7195;3;3198
101466085;3149;7195;3;3198
101467089;3149;7195;3;3198
101468090;3149;7195;3;3198
101469112;3150;7195;3;3198
101470103;3149;7195;3;3198
101471087;3149;7195;3;3198
101472088;3149;7195;3;3198
101473084;3150;7195;3;3198
101474084;3150;7195;3;3198
101475089;3149;7195;3;3198
101476090;3149;7195;3;3198
101477086;3150;7195;3;3198
101478088;3150;7195;3;3198
101479085;3149;7195;3;3198
101480101;3149;7195;3;3198
101481085;3149;7195;3;3198
101482087;3149;7195;3;3149
101483083;3149;7195;3;3149
101484084;3150;7195;3;3149
101485089;3149;7195;3;3149
101486082;3149;7195;3;3149
101487087;3149;7195;3;3149
101488089;3149;7195;3;3149
101489085;3150;7195;3;3149
101490087;3149;7195;3;3149
101491113;3149;7195;3;3149
101492099;3150;7195;3;3149
101493088;3149;7195;3;3149
101494090;3149;7195;3;3149
101495087;3149;7195;3;3149
101496088;3148;7195;3;3149
101497085;3149;7195;3;3149
101498086;3149;7195;3;3149
101499083;3149;7195;3;3149
101500084;3149;7195;3;3149
101501084;3149;7195;3;3149
101502111;3149;7195;3;3149
101503154;3149;7195;3;3149
101504088;3149;7195;3;3149
101505089;3149;7195;3;3149
101506084;3150;7195;3;3149
101507084;3149;7195;3;3149
101508088;3149;7195;3;3149
101509089;3150;7195;3;3149
101510085;3150;7195;3;3149
101511088;3149;7195;3;3149
101512084;3149;7195;3;3149
101513085;3149;7195;3;3149
101514102;3149;7195;3;3149
101515082;3150;7195;3;3149
101516083;3150;7195;3;3149
101517087;3149;7195;3;3149
101518088;3149;7195;3;3149
101519084;3150;7195;3;3149
101520085;3149;7195;3;3149
101521084;3149;7195;3;3149
101522084;3148;7195;3;3149
101523088;3149;7195;3;3149
101524098;3149;7195;3;3149
101525086;3149;7195;3;3149
101526087;3149;7195;3;3149
101527083;3149;7195;3;3149
101528084;3149;7195;3;3149
101529088;3150;7195;3;3149
101530088;3150;7195;3;3149
101531087;3149;7195;3;3149
101532088;3149;7195;3;3149
101533084;3149;7195;3;3149
101534099;3150;7195;3;3149
101535088;3149;7195;3;3149
101536089;3149;7195;3;3149
101537085;3148;7195;3;3149
101538086;3149;7195;3;3149
101539089;3150;7195;3;3149
101540083;3149;7195;3;3149
101541082;3149;7195;3;3149
101542084;3150;7195;3;3149
101543089;3149;7195;3;3149
101544099;3149;7195;3;3149
101545088;3151;7195;3;3149
101546082;3150;7195;3;3149
101547087;3150;7195;3;3149
101548088;3149;7195;3;3149
101549085;3149;7195;3;3149
101550086;3149;7195;3;3149
101551086;3150;7195;3;3149
101552087;3149;7195;3;3149
101553084;3150;7195;3;3149
101554101;3149;7195;3;3149
101555082;3149;7195;3;3149
101556084;3149;7195;3;3149
101557088;3149;7195;3;3149
101558090;3150;7195;3;3149
101559087;3149;7195;3;3149
101560088;3150;7195;3;3149
101561088;3150;7195;3;3149
101562089;3151;7195;3;3149
101563085;3150;7195;3;3149
101564101;3149;7195;3;3149
101565082;3149;7195;3;3149
101566084;3149;7195;3;3149
101567089;3149;7195;3;3149
101568083;3149;7195;3;3149
101569087;3149;7195;3;3149
101570089;3148;7195;3;3149
101571087;3149;7195;3;3149
101572087;3148;7195;3;3149
101573082;3149;7195;3;3149
101574100;3150;7195;3;3149
101575089;3150;7195;3;3149
101576082;3150;7195;3;3149
101577086;3149;7195;3;3149
101578086;3150;7195;3;3149
101579082;3149;7195;3;3149
101580083;3149;7195;3;3149
101581090;3149;7195;3;3149
101582082;3150;7195;3;3149
101583087;3150;7195;3;3149
101584128;3149;7195;3;3149
101585087;3149;7195;3;3149
101586088;3149;7195;3;3149
101587083;3149;7195;3;3149
101588084;3149;7195;3;3149
101589088;3149;7195;3;3149
101590088;3149;7195;3;3149
101591088;3149;7195;3;3149
101592088;3149;7195;3;3149
101593084;3149;7195;3;3149
101594085;3149;7195;3;3149
101595115;3150;7195;3;3149
101596099;3149;7195;3;3149
101597087;3149;7195;3;3149
101598088;3149;7195;3;3149
101599085;3149;7195;3;3149
101600085;3149;7195;3;3149
101601084;3149;7195;3;3149
101602084;3150;7195;3;3149
101603088;3150;7195;3;3149
101604089;3149;7195;3;3149
101605085;3149;7195;3;3149
101606167;3150;7195;3;3149
101607083;3150;7195;3;3149
101608085;3149;7195;3;3149
101609089;3149;7195;3;3149
101610083;3147;7195;3;3149
101611082;3146;7195;3;3149
101612084;3144;7195;3;3149
101613088;3143;7195;3;3149
101614090;3139;7195;3;3149
101615087;3137;7195;3;3149
101616155;3133;7195;3;3149
101617089;3131;7195;3;3149
101618083;3128;7195;3;3149
101619088;3122;7195;3;3149
101620089;3118;7195;3;3149
101621089;3115;7195;3;3149
101622082;3111;7195;3;3149
101623087;3109;7195;3;3149
101624089;3105;7195;3;3149
101625085;3102;7195;3;3149
101626113;3100;7195;3;3149
101627102;3098;7195;3;3149
101628083;3092;7195;3;3149
101629085;3091;7195;3;3149
101630089;3089;7195;3;3149
101631086;3087;7195;3;3149
101632083;3087;7195;3;3149
101633084;3085;7195;3;3149
101634089;3084;7195;3;3149
101635090;3084;7195;3;3149
101636112;3084;7195;3;3149
101637097;3086;7195;3;3149
101638084;3086;7195;3;3149
101639086;3087;7195;3;3149
101640089;3089;7195;3;3149
101641085;3090;7195;3;3149
101642089;3090;7195;3;3149
101643090;3090;7195;3;3149
101644086;3092;7195;3;3149
101645086;3094;7195;3;3149
101646090;3094;7195;3;3149
101647083;3095;7195;3;3149
101648096;3096;7195;3;3149
101649085;3096;7195;3;3149
101650086;3096;7195;3;3149
101651084;3096;7195;3;3149
101652085;3097;7195;3;3149
101653089;3097;7195;3;3149
101654089;3096;7195;3;3149
101655086;3097;7195;3;3149
101656086;3097;7195;3;3149
101657109;3097;7195;3;3149
101658103;3096;7195;3;3149
101659083;3096;7195;3;3149
101660084;3097;7195;3;3149
101661083;3096;7195;3;3149
101662084;3096;7195;3;3149
101663088;3097;7195;3;3149
101664089;3096;7195;3;3149
101665085;3096;7195;3;3149
101666085;3096;7195;3;3149
101667115;3095;7195;3;3149
101668099;3094;7195;3;3149
101669087;3094;7195;3;3149
101670088;3095;7195;3;3149
101671088;3095;7195;3;3149
101672089;3095;7195;3;3149
101673086;3095;7195;3;3149
101674087;3095;7195;3;3149
101675084;3095;7195;3;3149
101676085;3096;7195;3;3149
101677090;3096;7195;3;3149
101678100;3096;7195;3;3149
101679089;3095;7195;3;3149
101680083;3095;7195;3;3149
101681083;3095;7195;3;3149
101682084;3096;7195;3;3149
101683088;3096;7195;3;3149
101684090;3096;7195;3;3149
101685086;3095;7195;3;3149
101686088;3096;7195;3;3149
101687085;3096;7195;3;3149
101688123;3095;7195;3;3149
101689089;3096;7195;3;3149
101690082;3095;7195;3;3149
101691090;3095;7195;3;3149
101692083;3096;7195;3;3149
101693088;3095;7195;3;3149
101694089;3096;7195;3;3149
101695086;3096;7195;3;3149
101696087;3096;7195;3;3149
101697084;3094;7195;3;3149
101698163;3096;7195;3;3149
101699089;3095;7195;3;3149
101700083;3095;7195;3;3149
101701083;3094;7195;3;3149
101702082;3096;7195;3;3149
101703086;3096;7195;3;3149
101704086;3095;7195;3;3149
101705082;3096;7195;3;3149
101706083;3096;7195;3;3149
101707087;3095;7195;3;3149
101708122;3096;7195;3;3149
101709087;3096;7195;3;3149
101710088;3096;7195;3;3149
101711087;3096;7195;3;3149
101712088;3095;7195;3;3149
101713084;3094;7195;3;3149
101714084;3096;7195;3;3149
101715088;3096;7195;3;3149
101716088;3096;7195;3;3149
101717084;3095;7195;3;3149
101718085;3096;7195;3;3149
101719118;3096;7195;3;3149
101720087;3096;7195;3;3149
101721083;3096;7195;3;3149
101722087;3095;7195;3;3149
101723087;3096;7195;3;3149
101724083;3096;7195;3;3149
101725084;3095;7195;3;3149
101726087;3095;7195;3;3149
101727089;3095;7195;3;3149
101728085;3095;7195;3;3149
101729127;3097;7195;3;3149
101730088;3096;7195;3;3149
101731084;3095;7195;3;3149
101732088;3096;7195;3;3149
101733088;3096;7195;3;3149
101734084;3096;7195;3;3149
101735085;3096;7195;3;3149
101736089;3095;7195;3;3149
101737083;3095;7195;3;3149
101738087;3095;7195;3;3149
101739104;3096;7195;3;3149
101740089;3095;7195;3;3149
101741086;3095;7195;3;3149
101742082;3096;7195;3;3149
101743084;3095;7195;3;3149
101744089;3096;7195;3;3149
101745082;3096;7195;3;3149
101746087;3096;7195;3;3149
101747088;3095;7195;3;3149
101748085;3095;7195;3;3149
101749143;3096;7195;3;3149
101750090;3096;7195;3;3149
101751087;3095;7195;3;3149
101752084;3095;7195;3;3149
101753085;3095;7195;3;3149
101754089;3096;7195;3;3149
101755083;3096;7195;3;3149
101756087;3096;7195;3;3149
101757089;3096;7195;3;3149
101758085;3095;7195;3;3149
101759122;3096;7195;3;3149
101760083;3096;7195;3;3149
101761087;3095;7195;3;3149
101762084;3095;7195;3;3149
101763085;3095;7195;3;3149
101764089;3096;7195;3;3149
101765158;3096;7195;3;3149
101766084;3096;7195;3;3149
